Origin_Index,Origin_DOI,position,id,doi,title,authors,authors_auid,authors_affiliationid,sourcetitle,publicationyear,coverDate,volume,issue,first,last,citedbycount,type,text,fulltext
1,10.1016/j.scs.2023.104636,1,0031189744,10.1016/S0360-1323(96)00068-6,Energy use during the life cycle of buildings: A method,"Adalberth, K.",,,Building and Environment,1997,,,,,,,,,"Adalberth, K., Energy use during the life cycle of buildings: A method. Building and Environment 32:4 (1997), 317–320, 10.1016/S0360-1323(96)00068-6."
1,10.1016/j.scs.2023.104636,2,0031190830,10.1016/S0360-1323(96)00069-8,Energy use during the life cycle of single-unit dwellings: Examples,"Adalberth, K.",,,Building and Environment,1997,,,,,,,,,"Adalberth, K., Energy use during the life cycle of single-unit dwellings: Examples. Building and Environment 32:4 (1997), 321–329, 10.1016/S0360-1323(96)00069-8."
1,10.1016/j.scs.2023.104636,3,84899553286,10.1016/j.renene.2014.03.063,Implications of integrating electricity supply dynamics into life cycle assessment: A case study of renewable distributed generation,"Amor, M.B.; Gaudreault, C.; Pineau, P.O.; Samson, R.",,,Renewable Energy,2014,,,,,,,,,"Amor, M.Ben, Gaudreault, C., Pineau, P.O., Samson, R., Implications of integrating electricity supply dynamics into life cycle assessment: A case study of renewable distributed generation. Renewable Energy 69 (2014), 410–419, 10.1016/j.renene.2014.03.063."
1,10.1016/j.scs.2023.104636,4,85075524192,10.1016/j.scs.2019.101974,An integrated life cycle assessment of different façade systems for a typical residential building in Ghana,"Ansah, M.K.; Chen, X.; Yang, H.; Lu, L.; Lam, P.T.I.",,,Sustainable Cities and Society,2020,,,,,,,,June 2019,"Ansah, M.K., Chen, X., Yang, H., Lu, L., Lam, P.T.I., An integrated life cycle assessment of different façade systems for a typical residential building in Ghana. Sustainable Cities and Society, 53, 2020, 101974, 10.1016/j.scs.2019.101974 June 2019."
1,10.1016/j.scs.2023.104636,5,84923067908,10.1007/s40095-014-0079-3,Impact of the insulation materials’ features on the determination of optimum insulation thickness,"Barrau, J.; Ibanez, M.; Badia, F.",,,International Journal of Energy and Environmental Engineering,2014,,,,,,,,,"Barrau, J., Ibanez, M., Badia, F., Impact of the insulation materials’ features on the determination of optimum insulation thickness. International Journal of Energy and Environmental Engineering 5:2–3 (2014), 1–9, 10.1007/s40095-014-0079-3."
1,10.1016/j.scs.2023.104636,6,84884633626,10.1016/j.rser.2013.08.037,Life cycle assessment (LCA) and life cycle energy analysis (LCEA) of buildings and the building sector: A review,"Cabeza, L.F.; Rincón, L.; Vilariño, V.; Pérez, G.; Castell, A.",,,Renewable and Sustainable Energy Reviews,2014,,,,,,,,,"Cabeza, L.F., Rincón, L., Vilariño, V., Pérez, G., Castell, A., Life cycle assessment (LCA) and life cycle energy analysis (LCEA) of buildings and the building sector: A review. Renewable and Sustainable Energy Reviews 29 (2014), 394–416, 10.1016/j.rser.2013.08.037."
1,10.1016/j.scs.2023.104636,7,85061926693,10.5194/gmd-12-677-2019,"GCAM v5.1: Representing the linkages between energy, water, land, climate, and economic systems","Calvin, K.; Patel, P.; Clarke, L.; Asrar, G.; Bond-Lamberty, B.; Yiyun Cui, R.; Wise, M.",,,Geoscientific Model Development,2019,,,,,,,,,"Calvin, K., Patel, P., Clarke, L., Asrar, G., Bond-Lamberty, B., Yiyun Cui, R., Wise, M., GCAM v5.1: Representing the linkages between energy, water, land, climate, and economic systems. Geoscientific Model Development 12:2 (2019), 677–698, 10.5194/gmd-12-677-2019."
1,10.1016/j.scs.2023.104636,8,85158866661,,Scholarship at UWindsor using bio-based materials in the automotive industry,"Che, S.; Tseng, W.",,,,2013,,,,,,,,University of Windsor,"Che, S., Tseng, W., Scholarship at UWindsor using bio-based materials in the automotive industry. 2013, University of Windsor."
1,10.1016/j.scs.2023.104636,9,84861705873,,2050 China energy and CO2 emissions report,,,,,2009,,,,,,,,Science Press Beijing,"China Energy and Carbon Emissions Research Group. 2050 China energy and CO2 emissions report. 2009, Science Press, Beijing."
1,10.1016/j.scs.2023.104636,10,85095585518,10.1021/acs.energyfuels.0c02139,A comparative review on the environmental impacts of combustion-based electricity generation technologies,"Cho, H.H.; Strezov, V.",,,Energy and Fuels,2020,,,,,,,,,"Cho, H.H., Strezov, V., A comparative review on the environmental impacts of combustion-based electricity generation technologies. Energy and Fuels 34:9 (2020), 10486–10502, 10.1021/acs.energyfuels.0c02139."
