eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85158840228,10.1016/j.scs.2023.104636,S2210670723002470,,A dynamic life cycle assessment model for long-term carbon emissions prediction of buildings: A passive building as case study,ar,Article,Su X.,60073652;125545257,Tongji University;Technical Center for Industrial Product and Raw Material Inspection and Testing of Shanghai Customs,Shanghai;Shanghai,China;China,6,"Su, Xing;Huang, Yixiang;Chen, Chaoyang;Xu, Zehan;Tian, Shaochen;Peng, Li",22136994500;58235927400;58236380900;58235465300;57196456846;58242291800,60073652;60073652;60073652;60073652;60073652;125545257,2023-09-01,September 2023,Sustainable Cities and Society,22106707,19700194105,,Journal,96,,104636,,"Carbon emissions of buildings in the life cycle are huge due to the high resource-intensive and energy consumption of the buildings industry and its upstream industries. And for carbon emissions prediction of the buildings, the life cycle assessment (LCA) with the static parameters input was used to obtain long-term carbon emissions for the buildings in the existed studies. The study presented a dynamic LCA model to predict life cycle carbon emissions of the buildings and optimize the insulation parameter with the improved temporal validation of upstream parameters. A case passive building was selected to perform the dynamic method based on the basic and operational information of this building. The key temporal parameters were collected and predicted via grey prediction. And the electric mix structure was predicted via scenario analysis method. The dynamic life cycle carbon emissions of energy systems were evaluated in different scenarios by the combination of predicting results and historical data. The life cycle carbon emissions of the case building in temporal scenarios reduced approximately 23.4% of that in static scenario. Also, optimal insulation layer thickness in temporal scenarios of and that in static scenario were 130 mm, 120 mm and 250 mm, respectively.",Carbon emissions | Life cycle assessment | Scenario analysis | Thickness of insulation layer | Time series parameters prediction,0,0,,,,22dz1207000,Science and Technology Innovation Plan Of Shanghai Science and Technology Commission
2-s2.0-85152935215,10.1016/j.cscm.2023.e02059,S2214509523002383,,3D printing of circular materials: Comparative environmental analysis of materials and construction techniques,ar,Article,Khan S.A.,60113885;60085895;60020484;60012603,"Hamad Bin Khalifa University, College of Science and Engineering;Türkiye Cumhuriyeti Çevre ve Orman Bakanlığı;Hacettepe Üniversitesi;Ankara Üniversitesi",Doha;Ankara;Ankara;Ankara,Qatar;Turkey;Turkey;Turkey,7,"Khan, Shoukat Alim;Jassim, Muhammad;Ilcan, Husyin;Sahin, Oguzhan;Bayer, İsmail Raci;Sahmaran, Mustafa;Koc, Muammer",57207811534;58188815100;57219533416;57205892131;57550690500;21733527000;57204468983,60113885;60113885;60020484;60012603;60085895;60020484;60113885,2023-07-01,July 2023,Case Studies in Construction Materials,22145095,21100296223,,Journal,18,,e02059,,"The use of 3D printing in construction activities can help to reduce waste, lower energy consumption, and minimize the environmental impact of building projects. As technology continues to advance, it has the potential to play a major role in the development of cleaner, more sustainable production processes in the construction industry. For each such innovation, it is essential to ensure its environmental sustainability at an early stage of development. This study aims to assess the potential environmental advantages and disadvantages of newly developed construction and demolition waste (CDW)-based geopolymer materials for 3D printing of built-environment structures. The study identifies potential “hot spots” of the developed process where environmental impact is highest and develops strategies to reduce or mitigate negative impacts. Life Cycle Assessment (LCA) was carried out for three cases of CDW-based 3D printed structures, Portland cement-based 3D printed structures, and conventional masonry construction methods and materials, to analyze the environmental impact of CDW-based 3D-printed designs and their comparative analysis. The results showed that geopolymer-based 3D printed construction resulted in the lowest global warming potential of 488 [kg CO2 eq] as compared to 595.6 [kg CO2 eq] for ordinary Portland cement-based structure and 533.7 [kg CO2 eq] for conventional masonry construction of the equivalent structure. The main environmental “hot spot” identified for the geopolymer-based 3D printed construction process was the amount of electrical energy required for the mechanical processing of waste materials, which was more than 61% of the total GWP impact. In addition to decreasing solid CDW, the developed approach has significant potential for improvement by using more sustainable energy sources and reducing the amount of solid CDW generated.",3D printing | Built-environment | Circular economy | Construction and demolition waste | Environmental sustainability | Sustainable building,0,1,publisherfullgold,Gold,QNRF,119N030,Qatar National Research Fund
2-s2.0-85151402441,10.1016/j.jobe.2023.106396,S2352710223005752,,"Comparative study of greenhouse gas emission calculations and the environmental impact in the life cycle assessment of buildings in China, Finland, and the United States",ar,Article,Shi L.,60019616;116501321;112592879,Harbin Institute of Technology;Ministry of Industry and Information Technology;East China Architectural Design and Research Institute,Harbin;Harbin;Shanghai,China;China;China,7,"Shi, Ligang;Qi, Xinzhu;Yang, Zhaojing;Tao, Lulu;Li, Yuqing;Qiu, Jinghan;Jiang, Xintong",41762546700;57911470200;57911068900;57911470100;57911670000;57912060400;57911670100,60019616-116501321;60019616-116501321;60019616-116501321;60019616-116501321;60019616-116501321;60019616-116501321;112592879,2023-07-01,1 July 2023,Journal of Building Engineering,,21100389518,23527102,Journal,70,,106396,,"The building sector is considered a leading contributor to global greenhouse gas (GHG) emissions. With the implementation of China's 2030 carbon peak and 2060 carbon-neutral strategy, significant quantitative research regarding low-carbon buildings is crucial. However, a considerable discrepancy remains between the low-carbon building development in China and other advanced countries; the calculation method of GHG emissions lacks international integration. Based on the life cycle assessment (LCA) theory, a comparative empirical analysis was conducted among residential and public building sets in China, Finland, and the United States considering the life-cycle GHG emissions, which demonstrated notable differences in the Product stage (A1–A3), Maintenance and material replacement stage (B1–B5), and Energy use stage (B6) between each building set. Different building retrofit scenarios were then established to study the emission reduction methods. The results suggest that clean energy sources, materials with low global warming potential, engineered wood structures, and steel structural beams in long-span buildings are conducive to reducing GHG emissions throughout the life-cycle of buildings.",Greenhouse gas emission | Life cycle assessment | Public building | Residential building | Scenario modelling,0,0,,,NSFC,51878200,National Natural Science Foundation of China
2-s2.0-85151052271,10.1016/j.jobe.2023.106356,S2352710223005351,,Carbon assessment of building shell options for eco self-build community housing through the integration of building energy modelling and life cycle analysis tools,ar,Article,Newberry P.,60020650,University of Bristol,Bristol,United Kingdom,3,"Newberry, Pablo;Harper, Paul;Norman, James",57317383400;24484646400;15730026300,60020650;60020650;60020650,2023-07-01,1 July 2023,Journal of Building Engineering,,21100389518,23527102,Journal,70,,106356,,"To achieve the UK's net-zero carbon transition by 2050, new homes need to be designed to high energy efficiency standards and minimise life cycle carbon emissions. This study develops a method that integrates building energy modelling (BEM) and life cycle assessment (LCA) tools, IES Virtual Environment (IES VE) and One Click LCA, to conduct a life cycle assessment of the operational and embodied carbon impacts of a typical terraced building shell in an eco self-build community housing (ESBC) project, using Water Lilies as a case study. It evaluates and compares the 60-year life cycle carbon impacts of six design options that apply different insulation materials to the case study building shell. The results are based on grid-connected Future Energy Scenarios (FES) that have different carbon intensities predicted over time and the microgrid-connected Water Lilies Community Energy (WLCE) scenario that is operationally net-zero carbon. Depending on the FES, embodied carbon accounted between 59 and 80% of total emissions compared to 20–41% from operational carbon across design options. The results show that operational carbon is highly sensitive to the percentage of renewables in the energy mix of the grid, which is difficult to predict, and can significantly influence the design choice. As such, future researchers should account for predicted changes to the carbon intensity of the grid by applying a similar method to that proposed. Overall, the integration of IES VE and One Click LCA provided a more streamlined life cycle assessment to help inform early design decisions by enabling energy consumption simulation in BEM to assess operational carbon emissions and the automated transfer of building materials from the BEM model to the LCA tool to assess embodied carbon emissions. The limitations included the unavailability of material-specific data in early design stage plans, the inability to automatically transfer the timber frame structure from IES VE to One Click LCA, and the uncertainty of future energy trends.",Building energy modelling | Eco-housing | Life cycle assessment | Sustainable construction,0,1,publisherhybridgold,Hybrid Gold,EPSRC,EP/R513179/1,Engineering and Physical Sciences Research Council
2-s2.0-85144520598,10.1016/j.cscm.2022.e01724,S2214509522008567,,Development of ultra-high-performance concrete with low environmental impact integrated with metakaolin and industrial wastes,ar,Article,Abdellatief M.,60273922;60231617;60110525,Amran University;Faculty of Engineering;Majmaah University,Amran;Mansoura;Al-Majmaah,Yemen;Egypt;Saudi Arabia,6,"Abdellatief, Mohamed;AL-Tam, Saeeb M.;Elemam, Walid E.;Alanazi, Hani;Elgendy, Gamal M.;Tahwia, Ahmed M.",57855303900;58026482600;57215871674;56928172000;57223308321;57202774216,60231617;60273922;60231617;60110525;60231617;60231617,2023-07-01,July 2023,Case Studies in Construction Materials,22145095,21100296223,,Journal,18,,e01724,,"Industrial waste contributes to serious environmental issues. However, these issues can be solved by utilizing them as building materials. This paper investigated the effects of substituting the cement with a variety of industrial wastes and metakaolin (MK) on ultra-high-performance concrete (UHPC) properties. The industrial wastes used in this study include silica fume (SF), granulated blast-furnace slag (GGBS), and fly ash (FA). The prepared mixtures were created by varying the amounts of Portland cement, GGBS (30–50%), FA (20–30%), or MK (15–25%), while maintaining a constant amount of SF of 15%. The mechanical, durability, and micro-structural characteristics of the mixtures were investigated. This study also uses life cycle assessment to estimate the reductions in embodied energy consumption, life cycle cost, and carbon footprint associated with integrating metakaolin and industrial waste. The results indicated that the inclusion of 15%MK led to an increase in the compressive, flexural, and splitting tensile strengths. Also, the chloride permeability resistance was enhanced. The mechanical properties and chloride-ion permeability resistance of the ternary mixtures with 50%GGBS and 25%MK were the lowest compared to other mixtures. These results were supported by SEM micrographs and EDX analysis for the UHPC structure, which demonstrate the high-density microstructure and extremely thin interfacial transition zone thickness. The inclusion of industrial waste and metakaolin can lower environmental impact of UHPC without compromising the mechanical performance. Also, the environmental assessment shows that the UHPC containing industrial waste has a lower impact on the environment, which means they could make cleaner products in the near future.",CO  emission 2 | Durability | Life cycle cost | Mechanical properties | Ternary mixtures | UHPC,9,1,publisherfullgold,Gold,,IFP-2022-X,
2-s2.0-85158043648,10.1016/j.buildenv.2023.110329,S0360132323003566,,Potential for environmental impact reduction through building LCA(Life Cycle Assessment) of school facilities in material production stage,ar,Article,Jaemoon K.,102075062,Technology Research Institute,Seoul,South Korea,3,"Jaemoon, Kim;Duhwan, Lee;Seunghoon, Nam",58236114300;58235428900;58235210700,102075062;102075062;102075062,2023-06-15,15 June 2023,Building and Environment,03601323,26874,,Journal,238,,110329,,"In this study, the environmental impact of each material is proposed to enable effective greenhouse gas reduction design. Therefore, 6 major environmental impacts were analyzed for 29 buildings of school facilities using the self-developed building life cycle evaluation tool. As a result of the analysis, in the production stage of the six major environmental impacts, the top five materials consisting of structural materials such as concrete, cement, and rebar accounted for GWP 83.3%, ODP 94.4%, ADP 91.6%, AP 77.9%, EP 76.3%, and POCP 93.9%. In addition, as a result of evaluating the potential for reducing environmental impact by replacing voluntarily with concrete, cement, and insulation materials that have been voluntarily certified by the Environmental Product Declaration or low-carbon certification by companies, GWP was analyzed to be reduced by 11.9%, ODP 38.96%, ADP 13.21%, AP 1.18%, EP 5.53%, and POCP 50.61%."". Through this study, it shows the effect of material selection on greenhouse gas and suggests that designers' material selection ability can be an efficient alternative for eco-friendly design for global carbon neutrality.",Environmental product declaration | Life cycle assessment | School facility | Six environmental impacts,0,0,,,,undefined,
2-s2.0-85152525668,10.1016/j.istruc.2023.04.001,S2352012423004745,,Life cycle carbon emission assessment of large-span steel structures: A case study,ar,Article,You J.,60011373;60003970;120368387,Technical University of Denmark;Zhejiang University;China Southwest Architectural Design and Research Institute Corp. LTD,Lyngby;Hangzhou;,Denmark;China;China,5,"You, Jianzhou;Xu, Xian;Wang, Yafeng;Xiang, Xinan;Luo, Yaozhi",58032057500;13404219500;57056557700;58183509000;55595521600,60003970;60003970;60003970-60011373;120368387;60003970,2023-06-01,June 2023,Structures,,21100372467,23520124,Journal,52,,,842-853,"Buildings take up a significant part of global carbon emissions and are a major contributor to the climate crisis. Large-span steel structures usually consume more materials, need more complex construction processes, and thus have a larger environmental impact. This study presents a comparative analysis of the life cycle carbon emissions of three typical large-span steel structures, i.e., a cable dome, a reticulated shell, and a suspendome, based on a design case. A tiered hybrid method using the process-based life cycle assessment for the processes with emission factors and using input–output-based life cycle assessment for the processes without emission factors is proposed to assess the life cycle carbon emissions. Comparisons on the carbon emissions of the three structures reveal that the cable dome is the best of the three, having the lowest steel consumption and the lowest carbon emissions. Although the component production phase appears to contribute most of the total emissions, the construction phase is also of considerable importance in alleviating the present emission pressure, especially for the cable dome and suspendome. Further analysis shows that carbon emissions of large-span steel structures are not simply linearly related to steel consumption and need to be considered as a separate design objective. This study provides a useful reference for life cycle carbon emission assessment and low-carbon design of large-span steel structures.",Carbon emission | Comparative analysis | Large-span steel structure | Life cycle assessment,0,0,,,NSFC,52108182,National Natural Science Foundation of China
2-s2.0-85159303872,10.3390/su15097273,,,Redesigning for Disassembly and Carbon Footprint Reduction: Shifting from Reinforced Concrete to Hybrid Timber–Steel Multi-Story Building,ar,Article,Morales-Beltran M.,60028947;60013071,Yaşar Universitesi;Gebze Teknik Üniversitesi,Izmir;Kocaeli,Turkey;Turkey,4,"Morales-Beltran, Mauricio;Engür, Pınar;Şişman, Ömer Asım;Aykar, Gizem Nur",55652982900;57817615900;57215297450;58248543600,60028947;60028947;60013071;60028947,2023-05-01,May 2023,Sustainability (Switzerland),,21100240100,20711050,Journal,15,9,7273,,"To reduce carbon emissions, holistic approaches to design, plan, and build our environment are needed. Regarding multi-story residential buildings, it is well-known that (1) material choices and construction typologies play a fundamental role in the reduction of carbon footprint, (2) shifting from concrete to timber will reduce significantly the carbon footprint, and (3) a building designed to be disassembled will increase the potential of achieving zero-carbon emissions. However, little has been said about the consequences of such shifts and decisions in terms of building architecture and structural design, especially in seismic-prone regions. In this study, an existing 9-story reinforced concrete (RC) multi-story residential building is redesigned with cross-laminated timber floors and glue-laminated timber frames for embodied carbon reduction purposes. Firstly, the reasons behind design decisions are addressed in terms of both architecture and structure, including the incorporation of specially steel concentrically braced frames for seismic-resistance. Then, the outcomes of life cycle assessments and pushover analyses show that the RC residential building emits two times more carbon than the hybrid steel-timber residential building, and that while the hybrid building’s lateral load-capacity is less than in the RC building, its deformation capacity is higher. These results highlight the relevance of considering the carbon footprint in combination with the design decisions, which seems to be the key to introducing circular projects in seismic-prone areas.",architectural materials | buildings | construction technology | embodied carbon | life cycle assessment | seismic performance | structural design | Turkey,0,1,publisherfullgold,Gold,,BAP 109,
2-s2.0-85152054060,10.1016/j.eiar.2023.107085,S0195925523000513,,Environmental benefits of using hempcrete walls in residential construction: An LCA-based comparative case study in Morocco,ar,Article,Essaghouri L.,60025278,Tsinghua University,Beijing,China,3,"Essaghouri, Laila;Mao, Ruichang;Li, Xiaodong",58175369100;57191074364;34768501900,60025278;60025278;60025278,2023-05-01,May 2023,Environmental Impact Assessment Review,01959255,21004,,Journal,100,,107085,,"Hempcrete is a bio-composite material with excellent environmental and thermal properties. This material has been increasingly adopted in Europe as an alternative to concrete and traditional insulation. However, hemp hurds, as the raw materials for hempcrete, are discarded in the world's largest producer (Morocco) and considered biomass waste due mainly to their association with marijuana production. Thus, research on hempcrete remained limited in Morocco, with fewer stakeholders aware of the benefits of hempcrete in green buildings. The objective of this paper is to assess the potential use of Moroccan hemp biomass in the construction industry using a life-cycle assessment comparison of a residential house in Marrakech (Morocco) with three different exterior walls systems, two insulated conventional wall systems (i.e., double hollow clay brick (DHB), composite wall (CW) with extruded polystyrene (XPS) insulation), and a bio-composite material (i.e., hempcrete) to identify environmentally preferable wall systems. Our study demonstrated that hempcrete is advantageous over other comparable conventional wall systems in terms of embodied energy and performs best in terms of the environmental performance associated with its entire life cycle achieving relatively low carbon emissions (484.42 tCO2) compared to insulated DHB and CW systems (546.27 tCO2 and 546.55 tCO2 for DHB and CW, respectively) over a lifetime of 100 years. Significant savings (i.e., 61.85–62.13 tCO2 if hempcrete is used instead of DHB and CW) can be made from the exterior wall choice for a single house. These savings become much more significant if scaled up to the national level of Moroccan homes. Consequently, by exploiting the hemp biomass currently available in Morocco, results show a reduction of 1.91 MtCO2–1.92 MtCO2, equivalent to 2.81%–2.83% of overall Moroccan emissions. Thus, strong policy support and hemp legalization in Moroccan are essential to boost and expand hempcrete utilization for a greener construction industry.",Bio-composite materials | Green buildings | Greenhouse gas emissions | Hempcrete | Life cycle assessment,0,0,,,NSFC,72071120,National Natural Science Foundation of China
2-s2.0-85149729868,10.1016/j.jobe.2023.105908,S2352710223000876,,"Life cycle greenhouse gas emissions of hemp-lime concrete wall constructions in Serbia: The impact of carbon sequestration, transport, waste production and end of life biogenic carbon emission",ar,Article,Bošković I.,60068815,University of Belgrade,Belgrade,Serbia,2,"Bošković, Ilija;Radivojević, Ana",58136970400;14623322900,60068815;60068815,2023-05-01,1 May 2023,Journal of Building Engineering,,21100389518,23527102,Journal,66,,105908,,"The construction industry contributes to climate change through significant greenhouse gas emissions. Utilising sustainable building materials with low embodied environmental impacts and low greenhouse gas emissions is key to future sustainable development. Bio-based materials, such as hemp-lime concrete, possess environmental advantages as they make use of a renewable raw material and can sequester CO2 from the atmosphere. Through the use of life cycle assessment methodology the study analyses the greenhouse gas emissions associated with the life cycle of a hemp-lime concrete wall and examines the effects of variations that can arise during the life cycle of the material. Sensitivity analyses were used to examine the effects of varying the hemp shiv sequestration factor, binder carbonation factor, gate to site transport distances and raw material construction waste on greenhouse gas emissions, culminating in the creation of three primary emission scenarios (average, pessimistic and optimistic). It was found that the examined variables can have a large impact on greenhouse gas emissions and the environmental perception of the material, as the optimistic life cycle scenario had a negative global warming potential (−9.696kgCO2eq.), while the pessimistic scenario had a positive global warming potential (10.165kgCO2eq.). Additionally alternative end of life scenarios were developed to examine the effects of varying hemp shiv degradability at the end of life stage, demonstrating the potentially large impacts a high factor of degradable organic carbon can have on life cycle greenhouse gas emissions.",Bio-based material | Global warming potential | Greenhouse gas emissions | Hemp-lime concrete | Life cycle assessment,3,0,,,,undefined,
